,Новостройки,Автор отзыва,Отзыв,RuterExtractor,Ключевые слова KEYBERT,All_KeyBert,Ключевые слова RAKE,All_RAKE,Ключевые слова YAKE,Все ключевые слова YAKE,Группа 1,Группа 2,Группа 3,Группа 4
10,По ул. Соловьиная,Сергей Колпаков,"Район не плохой, но все время холодно.","плохая время, район","['район не плохой', 'но все время холодно']","район не плохой,но все время холодно","['район', 'плохой', 'холодно']","район,плохой,холодно","['Район не плохой', 'Район', 'плохой', 'холодно']","Район не плохой,Район,плохой,холодно",Отопление(Минус),,,
11,По ул. Соловьиная,Марина В.,Задержали сроки сдачи. По качеству выполненных строительных и прочих работ по отделке дома очень много нареканий. Месторасположение хорошее!,"выполненные строительные прочие работы, отделка дома нареканий, сроки сдачи, месторасположение, качество","['задержали сроки сдачи', 'месторасположение хорошее']","задержали сроки сдачи,месторасположение хорошее","['задержали сроки сдачи', 'качеству выполненных строительных', 'прочих работ', 'отделке дома', 'месторасположение хорошее', 'нареканий']","задержали сроки сдачи,качеству выполненных строительных,прочих работ,отделке дома,месторасположение хорошее,нареканий","['Задержали сроки сдачи', 'Задержали', 'сдачи', 'дома очень много нареканий', 'сроки', 'качеству выполненных строительных']","Задержали сроки сдачи,Задержали,сдачи,дома очень много нареканий,сроки,качеству выполненных строительных",DELETED,DELETED,,
12,По ул. Соловьиная,FRENSIS,"Не заезда , все остальное супер",заезд,"['все остальное супер', 'не заезда']","все остальное супер,не заезда","['остальное супер', 'заезда']","остальное супер,заезда","['остальное супер', 'заезда', 'супер']","остальное супер,заезда,супер",Рекомендую,Обустроенные дороги(Минус),,
13,По ул. Соловьиная,Алексей Козлов,"Тихое место, инфраструктура появляется. Дом новый.","тихое место, инфраструктура, дом","['дом новый', 'тихое место', 'инфраструктура появляется']","дом новый,тихое место,инфраструктура появляется","['тихое место', 'инфраструктура появляется', 'дом новый']","тихое место,инфраструктура появляется,дом новый","['Тихое место', 'инфраструктура появляется', 'появляется', 'Дом новый', 'Дом']","Тихое место,инфраструктура появляется,появляется,Дом новый,Дом",Рекомендую,,,
14,По ул. Соловьиная,Дмитрий Смирнов,"Очень хорошая местность, жить только в радость","хорошая местность, радость","['хорошая местность', 'очень']","хорошая местность,очень","['хорошая местность', 'жить', 'радость']","хорошая местность,жить,радость","['жить только в радость', 'хорошая местность', 'жить', 'радость', 'хорошая']","жить только в радость,хорошая местность,жить,радость,хорошая",Расположение удобное,,,
15,По ул. Соловьиная,Елена Магомеднабиева,Нет уличного освещения и остановки для транспорта,уличный освещение остановки транспорта,[],"['уличного освещения', 'остановки', 'транспорта']","уличного освещения,остановки,транспорта","['уличного освещения и остановки', 'остановки для транспорта', 'транспорта', 'уличного', 'освещения', 'остановки']","уличного освещения и остановки,остановки для транспорта,транспорта,уличного,освещения,остановки",,DELETED,DELETED,DELETED,
16,По ул. Соловьиная,Оксана М.,"Ужасная дорога к этим домам. Дворы чистые, все красиво.","ужасная дорога, дома, дворы","['ужасная дорога', 'дворы чистые', 'все красиво', 'этим домам']","ужасная дорога,дворы чистые,все красиво,этим домам","['ужасная дорога', 'дворы чистые', 'домам', 'красиво']","ужасная дорога,дворы чистые,домам,красиво","['Ужасная дорога', 'дорога к этим домам', 'домам', 'Дворы чистые', 'дорога', 'Дворы']","Ужасная дорога,дорога к этим домам,домам,Дворы чистые,дорога,Дворы",Чистота двора,Обустроенные дороги(Минус),,
17,По ул. Соловьиная,Андрей С.,"Я здесь живу, всё отлично!","['всё отлично', 'здесь живу']","всё отлично,здесь живу","['живу', 'отлично']","живу,отлично","['живу', 'отлично']","живу,отлично",,Рекомендую,,,
18,По ул. Соловьиная,Андрей Смирнов,"Отличный дом, я в нем живу.",отличный дом,['отличный дом'],отличный дом,"['отличный дом', 'живу']","отличный дом,живу","['Отличный дом', 'дом', 'живу']","Отличный дом,дом,живу",Рекомендую,,,
19,По ул. Соловьиная,Светлана Б.,Обычный многоквартирный дом. Очень хороший лифт,"обычный многоквартирный дом, хороший лифт","['обычный многоквартирный дом', 'очень хороший лифт']","обычный многоквартирный дом,очень хороший лифт","['обычный многоквартирный дом', 'хороший лифт']","обычный многоквартирный дом,хороший лифт","['Обычный многоквартирный дом', 'Обычный', 'дом', 'хороший лифт', 'лифт']","Обычный многоквартирный дом,Обычный,дом,хороший лифт,лифт",Лифт в новостройке,,,
20,По ул. Соловьиная,Анонимный отзыв,Хороший тихий район,хороший тихий район,['хороший тихий район'],хороший тихий район,['хороший тихий район'],хороший тихий район,"['Хороший тихий район', 'Хороший', 'район', 'тихий']","Хороший тихий район,Хороший,район,тихий",Рекомендую,,,
21,По ул. Соловьиная,евгений ивков,Новый дом! Всё хорошо,новый дом,"['новый дом', 'всё хорошо']","новый дом,всё хорошо",['новый дом'],новый дом,"['Новый дом', 'дом']","Новый дом,дом",Рекомендую,,,
22,"На ул. Шагова, 68",Ростислав Смирнов,"3 балла ,так как местность у дома не чистят вообще ,а также чтоб пройти к самим подъездам нужно поднятся на небольшую горку,а сейчас эта горка полностью заледенелаи на ней помно на ледянке кактаться","небольшая горка, местность дома, подъезды, ледянка, заледенелая, горка, балл","['на небольшую горку', 'дома не чистят вообще', 'самим подъездам нужно', 'балла', 'так']","на небольшую горку,дома не чистят вообще,самим подъездам нужно,балла,так","['горка полностью заледенелаи', 'чистят вообще', 'небольшую горку', 'ледянке кактаться', '3 балла', 'местность', 'дома', 'пройти', 'подъездам', 'поднятся', 'помно']","горка полностью заледенелаи,чистят вообще,небольшую горку,ледянке кактаться,3 балла,местность,дома,пройти,подъездам,поднятся,помно","['дома не чистят вообще', 'помно на ледянке кактаться', 'поднятся на небольшую горку,а', 'горка полностью заледенелаи', 'местность у дома', 'пройти к самим подъездам']","дома не чистят вообще,помно на ледянке кактаться,поднятся на небольшую горку,а,горка полностью заледенелаи,местность у дома,пройти к самим подъездам",Чистота двора(Минус),,,
23,"На ул. Шагова, 68",Анна Кузнецова,"Хорошее, качественное качественное здание",хорошее качественное качественное здание,"['качественное качественное здание', 'хорошее']","качественное качественное здание,хорошее","['качественное качественное здание', 'хорошее']","качественное качественное здание,хорошее","['качественное качественное здание', 'Хорошее', 'здание', 'качественное']","качественное качественное здание,Хорошее,здание,качественное",Рекомендую,,,
24,"На ул. Шагова, 68",Кирилл Шарафутдинов,"Красивый малоквартирный дом, удобная подземная парковка, закрытая территория. Для детей есть пара качелей и не более","удобная подземная парковка, красивый малоквартирный дом, закрытая территория детей, пара качелей","['малоквартирный дом', 'удобная подземная парковка', 'красивый', 'закрытая территория']","малоквартирный дом,удобная подземная парковка,красивый,закрытая территория","['красивый малоквартирный дом', 'удобная подземная парковка', 'закрытая территория', 'пара качелей', 'детей']","красивый малоквартирный дом,удобная подземная парковка,закрытая территория,пара качелей,детей","['Красивый малоквартирный дом', 'удобная подземная парковка', 'закрытая территория', 'Красивый', 'дом', 'удобная']","Красивый малоквартирный дом,удобная подземная парковка,закрытая территория,Красивый,дом,удобная",Удобная парковка,Расположение удобное,Рекомендую,
25,"На ул. Шагова, 68",Александр Шура,"Очень злые люди,почему вы такие?или думаете типа в элитном доме живёте?помойка 
Людьми нужно быть,и попроще относится к людям","люди, элитный дом, злые люди, тип","['людьми нужно быть', 'очень злые', 'людям']","людьми нужно быть,очень злые,людям","['элитном доме живёте', 'думаете типа', 'помойка людьми', 'попроще относится', 'злые', 'людям']","элитном доме живёте,думаете типа,помойка людьми,попроще относится,злые,людям","['помойка Людьми нужно быть,и', 'Людьми нужно быть,и попроще', 'элитном доме живёте', 'попроще относится к людям', 'думаете типа в элитном', 'типа в элитном доме']","помойка Людьми нужно быть,и,Людьми нужно быть,и попроще,элитном доме живёте,попроще относится к людям,думаете типа в элитном,типа в элитном доме",Рекомендую(Минус),,,
26,"На ул. Шагова, 68",Марго Орлова,Грязно очень.,['грязно очень'],грязно очень,['грязно'],грязно,['Грязно'],Грязно,,Чистота двора,,,
27,"На ул. Шагова, 68",Dota Two,Прикольно выглядит,['прикольно выглядит'],прикольно выглядит,['прикольно выглядит'],прикольно выглядит,"['Прикольно выглядит', 'выглядит']","Прикольно выглядит,выглядит",,,,,
28,"На ул. Шагова, 68",Костромаспецпроект Общество с ограниченной ответственностью,"Хороший дом, подземная удобная парковка","подземная удобная парковка, хороший дом","['подземная удобная парковка', 'хороший дом']","подземная удобная парковка,хороший дом","['подземная удобная парковка', 'хороший дом']","подземная удобная парковка,хороший дом","['подземная удобная парковка', 'Хороший дом', 'дом', 'подземная', 'парковка', 'удобная']","подземная удобная парковка,Хороший дом,дом,подземная,парковка,удобная",Удобная парковка,,,
29,"На ул. Шагова, 68",Иван Волков,"Крутой дом. Подземная парковка, сарайки.","подземная парковка, крутой дом, сарайки","['подземная парковка', 'крутой дом', 'сарайки']","подземная парковка,крутой дом,сарайки","['крутой дом', 'подземная парковка', 'сарайки']","крутой дом,подземная парковка,сарайки","['Крутой дом', 'сарайки', 'дом', 'Подземная парковка', 'парковка']","Крутой дом,сарайки,дом,Подземная парковка,парковка",Удобная парковка,Рекомендую,,
30,"На ул. Шагова, 68",Сергей Раков,Очень интересный и своеобразный дом.,интересный своеобразный дом,['очень интересный'],очень интересный,"['своеобразный дом', 'интересный']","своеобразный дом,интересный","['интересный и своеобразный дом', 'дом', 'интересный', 'своеобразный']","интересный и своеобразный дом,дом,интересный,своеобразный",Рекомендую,,,
31,"На ул. Шагова, 68",Егор,Уютный и милый жилой дом с подземной парковкой в центральной части Костромы.,"уютный милый жилая дом, центральная часть костромы, подземная парковка",['уютный'],уютный,"['милый жилой дом', 'центральной части костромы', 'подземной парковкой', 'уютный']","милый жилой дом,центральной части костромы,подземной парковкой,уютный","['центральной части Костромы', 'Уютный и милый жилой', 'милый жилой дом', 'жилой дом с подземной', 'дом с подземной парковкой', 'подземной парковкой в центральной']","центральной части Костромы,Уютный и милый жилой,милый жилой дом,жилой дом с подземной,дом с подземной парковкой,подземной парковкой в центральной",Рекомендую,Удобная парковка,,
32,"На ул. Шагова, 68",Ольга С.,Супер!!!,['супер'],супер,['супер'],супер,['Супер'],Супер,,Рекомендую,,,
33,"На ул. Шагова, 68",Анфиса Чехова,Оч красивый. И квартиры супперрр!!!!,красивый квартира супперрр,['красивый'],красивый,"['оч красивый', 'квартиры супперрр']","оч красивый,квартиры супперрр","['красивый', 'квартиры супперрр']","красивый,квартиры супперрр",Рекомендую,,,
34,"На ул. Шагова, 68",Владимир Соловьев,Элитное жилье что тут скажешь!,элитное жильё,"['что тут скажешь', 'элитное']","что тут скажешь,элитное","['элитное жилье', 'скажешь']","элитное жилье,скажешь","['Элитное жилье', 'жилье что тут скажешь', 'скажешь', 'жилье']","Элитное жилье,жилье что тут скажешь,скажешь,жилье",Рекомендую,,,
35,"На ул. Шагова, 68",юлия бакунина,Красивый город,красивый город,['красивый город'],красивый город,['красивый город'],красивый город,"['Красивый город', 'город']","Красивый город,город",Рекомендую,,,
36,Новый город,Антон Моденов,"Снаружи красивый комплекс. Со стороны двора напоминает гетто. Нет места для парковки. Нижние этажи - окна смотрят в соседние окна. Детская площадка для дома маловата, а рядом ещё несколько домов дети которых идут на эту площадку. Очень много людей.","красивый комплекс стороны двора, нижние этажи окна, детская площадка дома, гетто места парковки, соседние окно, площадка людей, дома, дети","['со стороны двора напоминает гетто', 'для парковки', 'детская площадка', 'дома маловата', 'нижние этажи']","со стороны двора напоминает гетто,для парковки,детская площадка,дома маловата,нижние этажи","['стороны двора напоминает гетто', 'снаружи красивый комплекс', 'нижние этажи', 'окна смотрят', 'соседние окна', 'детская площадка', 'дома маловата', 'домов дети', 'места', 'парковки', 'идут', 'площадку', 'людей']","стороны двора напоминает гетто,снаружи красивый комплекс,нижние этажи,окна смотрят,соседние окна,детская площадка,дома маловата,домов дети,места,парковки,идут,площадку,людей","['Снаружи красивый комплекс', 'Снаружи', 'комплекс', 'красивый', 'двора напоминает гетто', 'окна']","Снаружи красивый комплекс,Снаружи,комплекс,красивый,двора напоминает гетто,окна",Удобная парковка(Минус),Детская площадка за окном(Минус),,
37,Новый город,Денис К.,"Микрорайон лучшего качества проживания, все рядом : детский сад, магазины, строится новая школа, торговый центр РИО в шаговой доступности. У каждого дома детские функциональные детские площадки, оборудованные горками, качелями и всякими развлекалками для детей, так же за домом Ермакова 3 есть мини футбольное поле. Отличное место для проживания, единственный минус -это мало парковочных мест для авто.","детские функциональные детские площадка, отличное место проживания, наихорошее качество проживания, всякие развлекалки детей, шаговая доступность, футбольное поле, торговый центр, парковочные места, оборудованные горки, новая школа, каждый дом, дом ермакова, детский сад, мини, микрорайон, магазины, качели, авто","['мало парковочных мест для авто', 'отличное место для проживания', 'дома детские функциональные детские площадки', 'есть мини футбольное поле', 'детский сад']","мало парковочных мест для авто,отличное место для проживания,дома детские функциональные детские площадки,есть мини футбольное поле,детский сад","['каждого дома детские функциональные детские площадки', 'микрорайон лучшего качества проживания', 'строится новая школа', 'торговый центр рио', 'мини футбольное поле', 'единственный минус -это', 'детский сад', 'шаговой доступности', 'оборудованные горками', 'всякими развлекалками', 'домом ермакова 3', 'отличное место', 'парковочных мест', 'проживания', 'магазины', 'качелями', 'детей', 'авто']","каждого дома детские функциональные детские площадки,микрорайон лучшего качества проживания,строится новая школа,торговый центр рио,мини футбольное поле,единственный минус -это,детский сад,шаговой доступности,оборудованные горками,всякими развлекалками,домом ермакова 3,отличное место,парковочных мест,проживания,магазины,качелями,детей,авто","['Микрорайон лучшего качества проживания', 'торговый центр РИО', 'РИО в шаговой доступности', 'центр РИО в шаговой', 'строится новая школа', 'детский сад']","Микрорайон лучшего качества проживания,торговый центр РИО,РИО в шаговой доступности,центр РИО в шаговой,строится новая школа,детский сад",Неподалеку ТЦ,Школа рядом,Детский сад рядом,
38,Новый город,Дмитрий Лазарев,"Хорошее расположение, достаточно просторные дворы. Балкон отличный. Большая лоджия как комната. Сделали столовую. Вид отличный.","отличный большая лоджия, хорошее расположение, просторные дворы, столовая, комната, вид, балкон","['большая лоджия как комната', 'балкон отличный', 'достаточно просторные дворы', 'отличный', 'хорошее расположение']","большая лоджия как комната,балкон отличный,достаточно просторные дворы,отличный,хорошее расположение","['достаточно просторные дворы', 'хорошее расположение', 'балкон отличный', 'большая лоджия', 'сделали столовую', 'вид отличный', 'комната']","достаточно просторные дворы,хорошее расположение,балкон отличный,большая лоджия,сделали столовую,вид отличный,комната","['достаточно просторные дворы', 'Хорошее расположение', 'Хорошее', 'достаточно', 'дворы', 'отличный']","достаточно просторные дворы,Хорошее расположение,Хорошее,достаточно,дворы,отличный",Расположение удобное,,,
39,Новый город,John F.,"Дома красивые, возможно качественные, не жил, не знаю)) Но с местами парковки есть проблемы. Домов многоквартирных рядом стоит много, для машин места мало, тесновато.","проблемы домов, места парковки, машины места, дом","['домов многоквартирных рядом стоит много', 'местами парковки есть проблемы', 'дома красивые', 'для машин', 'не знаю']","домов многоквартирных рядом стоит много,местами парковки есть проблемы,дома красивые,для машин,не знаю","['дома красивые', 'возможно качественные', 'местами парковки', 'домов многоквартирных', 'машин места', 'жил', 'знаю', 'проблемы', 'стоит', 'тесновато']","дома красивые,возможно качественные,местами парковки,домов многоквартирных,машин места,жил,знаю,проблемы,стоит,тесновато","['местами парковки есть проблемы', 'Дома красивые', 'возможно качественные', 'Домов многоквартирных рядом стоит', 'Дома', 'возможно']","местами парковки есть проблемы,Дома красивые,возможно качественные,Домов многоквартирных рядом стоит,Дома,возможно",Удобная парковка(Минус),,,
40,Новый город,Савелий Чурляев,"Отличный район. Рядом детский сад, магазины, сервисы обслуживания. Удобно, рядом с мостом  . Хорошее состояние домов. Рядом строится новая школа. Всë отлично","хорошее состояние домов, сервисы обслуживания, отличный район, новая школа, детский сад, мост, магазины","['хорошее состояние домов', 'рядом детский сад', 'рядом строится новая школа', 'сервисы обслуживания', 'отличный район']","хорошее состояние домов,рядом детский сад,рядом строится новая школа,сервисы обслуживания,отличный район","['хорошее состояние домов', 'строится новая школа', 'отличный район', 'детский сад', 'сервисы обслуживания', 'всë отлично', 'магазины', 'удобно', 'мостом']","хорошее состояние домов,строится новая школа,отличный район,детский сад,сервисы обслуживания,всë отлично,магазины,удобно,мостом","['Отличный район', 'Хорошее состояние домов', 'сервисы обслуживания', 'район', 'детский сад', 'магазины']","Отличный район,Хорошее состояние домов,сервисы обслуживания,район,детский сад,магазины",Детский сад,Рекомендую,Наличие магазинов рядом,
41,Новый город,Елена,"Все так пугают заволгой, думала, что долго буду после Давыдовского привыкать к этому району. Зря переживала. Садик в 5 минутах, школу достраивают, РИО рядом, пятёрки, магнит, озон, аптеки, парк рядом. Все нравится!","озон аптеки, школа, садик, район, пятёрки, парк, минуты, магнит, заволга","['что долго буду после давыдовского', 'этому району', 'рио рядом', 'парк рядом', 'озон']","что долго буду после давыдовского,этому району,рио рядом,парк рядом,озон","['пугают заволгой', 'давыдовского привыкать', 'зря переживала', 'школу достраивают', 'думала', 'району', 'садик', '5 минутах', 'рио', 'пятёрки', 'магнит', 'озон', 'аптеки', 'парк', 'нравится']","пугают заволгой,давыдовского привыкать,зря переживала,школу достраивают,думала,району,садик,5 минутах,рио,пятёрки,магнит,озон,аптеки,парк,нравится","['Давыдовского привыкать', 'пугают заволгой', 'привыкать к этому району', 'думала', 'району', 'Зря переживала']","Давыдовского привыкать,пугают заволгой,привыкать к этому району,думала,району,Зря переживала",Детский сад,Школа рядом,Наличие магазинов рядом,Рекомендую
42,Новый город,Victoria,"Просторные квартиры, удобное расположен к. Но есть огромный минус - очень сильная слышимость в квартире","сильная слышимость, просторные квартира, квартира","['но есть огромный минус', 'просторные квартиры', 'удобное расположен']","но есть огромный минус,просторные квартиры,удобное расположен","['просторные квартиры', 'удобное расположен', 'огромный минус', 'сильная слышимость', 'квартире']","просторные квартиры,удобное расположен,огромный минус,сильная слышимость,квартире","['Просторные квартиры', 'удобное расположен', 'квартиры', 'удобное', 'огромный минус', 'слышимость в квартире']","Просторные квартиры,удобное расположен,квартиры,удобное,огромный минус,слышимость в квартире",Расположение удобное,Высокая слышимость,,
43,Новый город,Игорь Медведев,"Живу рядом с этим местом. Гуляю часто. И всё-то мне нравится: и огромная парковка, и двор с площадками, и магазины внутри. И местоположение. Вообщем, Заволга рулит!","огромная парковка, вообщий заволга, площадки, местоположение, место, магазины, двор","['гуляю часто', 'заволга рулит', 'вообщем']","гуляю часто,заволга рулит,вообщем","['огромная парковка', 'магазины внутри', 'заволга рулит', 'живу', 'местом', 'гуляю', 'всё-то', 'нравится', 'двор', 'площадками', 'местоположение', 'вообщем']","огромная парковка,магазины внутри,заволга рулит,живу,местом,гуляю,всё-то,нравится,двор,площадками,местоположение,вообщем","['Живу', 'местом', 'Заволга рулит', 'всё-то мне нравится', 'огромная парковка', 'двор с площадками']","Живу,местом,Заволга рулит,всё-то мне нравится,огромная парковка,двор с площадками",Наличие магазинов рядом,Удобная парковка,,
44,Новый город,dobroded1962 Серёга.,"Удобное местоположение все магазины в шаговой доступности. Есть дат. сад, скоро дудет школа, в перспективе по генплан в строящемся доме детская поликлиника. Единственная неприятность куча строительного мусора ул Даремская.","шаговая доступность дат, удобное местоположение, строящийся дом, строительное мусор, единственная неприятность, детская поликлиника, школа, ул, сад, перспектива, магазины, куча, генплан","['мусора ул даремская', 'единственная неприятность куча', 'дудет школа', 'скоро']","мусора ул даремская,единственная неприятность куча,дудет школа,скоро","['единственная неприятность куча строительного мусора ул даремская', 'строящемся доме детская поликлиника', 'скоро дудет школа', 'удобное местоположение', 'шаговой доступности', 'магазины', 'дат', 'сад', 'перспективе', 'генплан']","единственная неприятность куча строительного мусора ул даремская,строящемся доме детская поликлиника,скоро дудет школа,удобное местоположение,шаговой доступности,магазины,дат,сад,перспективе,генплан","['Удобное местоположение все магазины', 'магазины в шаговой доступности', 'Удобное', 'доступности', 'скоро дудет школа', 'строящемся доме детская поликлиника']","Удобное местоположение все магазины,магазины в шаговой доступности,Удобное,доступности,скоро дудет школа,строящемся доме детская поликлиника",Расположение удобное,Наличие магазинов рядом,,
45,Новый город,Елена Па,"Мы переехали 4 года назад. Думала буду долго привыкать. Но к хорошему, говорят, быстро привыкаешь.  И это точно! Все новое и красивое: магазины, ТЦ, дороги. И всё рядом. Но больше всего радует, что рядом красавица Волга.","новое красивое магазины, красавица, дорога, год, волга","['но больше всего радует', 'все новое', 'что рядом', 'думала буду долго привыкать', 'года назад']","но больше всего радует,все новое,что рядом,думала буду долго привыкать,года назад","['быстро привыкаешь', 'красавица волга', 'переехали 4', 'думала', 'привыкать', 'хорошему', 'говорят', 'точно', 'новое', 'красивое', 'магазины', 'дороги', 'радует']","быстро привыкаешь,красавица волга,переехали 4,думала,привыкать,хорошему,говорят,точно,новое,красивое,магазины,дороги,радует","['переехали', 'Думала буду долго привыкать', 'быстро привыкаешь', 'говорят', 'красавица Волга', 'Думала']","переехали,Думала буду долго привыкать,быстро привыкаешь,говорят,красавица Волга,Думала",Неподалёку ТЦ,Наличие магазинов рядом,Обустроенные дороги,
46,Новый город,Сергей Папижук,"Все рядом, и река Волга, и трц Рио, а так же супкрмаркет","супкрмаркет, река, волга","['река волга', 'все рядом']","река волга,все рядом","['река волга', 'трц рио', 'супкрмаркет']","река волга,трц рио,супкрмаркет","['река Волга', 'трц Рио', 'Рио', 'супкрмаркет', 'река', 'трц']","река Волга,трц Рио,Рио,супкрмаркет,река,трц",Неподалёку ТЦ,Наличие магазинов рядом,,
